Income,Age,Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Items_Purchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Cluster
26326.0,49,0,5,0,0,12,1,0,5,0,3,9,18,1,0,0,3,2
56046.0,60,2,5,0,0,9,577,0,64,0,0,51,692,2,10,1,8,3
29760.0,40,2,4,1,0,87,64,4,68,7,5,17,165,4,3,1,4,2
26304.0,56,2,3,1,0,5,4,1,5,2,0,4,16,1,1,0,2,2
23559.0,52,0,3,1,0,87,25,5,19,7,0,23,79,3,3,0,3,2
38620.0,62,3,5,0,0,56,112,17,44,34,22,89,318,1,2,5,3,2
81361.0,38,2,2,0,0,18,163,23,424,27,65,76,778,1,3,10,13,3
29440.0,65,2,3,1,1,95,17,8,14,10,4,3,56,2,1,0,4,2
36138.0,55,3,3,1,1,48,130,0,16,0,0,5,151,5,3,1,4,2
50388.0,68,2,4,0,1,3,292,6,37,0,3,34,372,4,6,1,6,2
79593.0,52,2,3,0,0,70,350,60,568,110,133,145,1366,1,5,6,7,1
54178.0,58,2,5,0,1,79,135,9,39,4,0,7,194,1,2,2,5,2
42394.0,53,3,4,1,0,69,15,2,10,0,1,4,32,1,1,0,3,2
23626.0,55,4,3,1,0,84,27,2,14,0,0,0,43,3,3,1,3,2
30096.0,42,2,3,1,0,30,5,3,11,12,5,9,45,1,2,0,3,2
47916.0,65,2,6,0,1,72,505,0,26,0,0,75,606,5,7,4,6,3
51813.0,53,2,2,1,1,37,51,2,7,0,1,2,63,2,2,0,3,2
78497.0,74,0,3,0,0,44,207,26,447,75,0,223,978,1,5,7,12,3
50150.0,42,4,3,0,0,32,135,46,92,65,61,11,410,2,5,2,7,2
47823.0,65,0,4,0,1,0,53,1,5,2,1,10,72,2,2,0,3,2
34554.0,66,4,4,0,1,43,41,1,6,2,0,5,55,2,2,0,3,2
85693.0,46,2,5,0,1,59,386,172,183,185,132,111,1169,2,9,5,11,3
65846.0,80,4,3,0,0,68,562,81,276,80,40,81,1120,1,6,3,6,3
87195.0,66,2,3,0,0,35,217,76,690,50,26,38,1097,1,3,11,5,3
24594.0,46,1,5,1,0,94,1,3,6,10,0,9,29,1,1,0,3,2
49096.0,61,2,3,1,1,15,144,1,32,2,1,7,187,4,4,1,4,2
52413.0,56,2,3,0,2,56,295,106,271,75,98,65,910,4,6,4,12,3
38557.0,47,2,4,1,0,17,76,3,31,4,4,27,145,2,3,1,3,2
89058.0,65,3,3,0,0,18,454,194,106,31,22,43,850,1,5,4,4,3
77298.0,46,2,5,0,1,46,425,115,292,23,35,79,969,1,6,6,11,3
68126.0,34,4,4,0,0,40,1332,17,311,23,51,86,1820,1,7,4,5,1
57288.0,62,3,5,0,1,27,527,0,21,0,0,60,608,3,8,1,8,3
86037.0,34,2,4,0,0,95,490,44,125,29,20,22,730,1,6,7,11,3
43974.0,45,4,3,1,0,19,378,0,101,0,0,72,551,5,6,4,6,3
50785.0,63,2,4,1,1,27,64,1,21,0,1,27,114,2,2,1,3,2
90765.0,55,2,3,0,0,25,547,99,812,151,82,33,1724,0,4,6,5,1
36550.0,47,0,3,1,0,74,47,90,94,123,103,120,577,5,9,1,5,2
30753.0,58,0,5,1,1,85,12,5,25,0,9,30,81,2,1,1,3,2
21918.0,56,2,5,1,0,37,1,6,7,11,5,3,33,2,2,0,3,2
56129.0,72,3,5,0,1,65,320,48,133,39,72,48,660,4,6,2,10,3
32557.0,58,3,4,1,0,13,34,3,29,0,4,10,80,3,2,1,3,2
19510.0,40,3,3,2,0,63,9,0,7,3,4,7,30,2,1,0,3,2
30992.0,49,2,2,1,0,83,17,0,14,7,3,2,43,1,1,0,3,2
101970.0,42,2,4,0,0,69,722,27,102,44,72,168,1135,0,6,8,13,3
71488.0,60,0,5,0,0,87,162,33,124,40,28,172,559,2,3,4,7,2
79607.0,41,2,4,0,0,37,450,133,951,173,0,216,1923,1,3,6,6,1
54348.0,72,3,3,1,1,51,70,0,16,0,0,4,90,2,2,0,4,2
77376.0,69,4,5,1,1,72,492,19,110,16,12,12,661,4,6,3,10,3
62998.0,73,2,3,0,1,10,120,58,73,65,89,58,463,5,5,4,5,2
61331.0,67,3,1,1,1,42,534,5,47,0,5,41,632,5,11,1,6,3
73448.0,56,2,3,0,0,10,236,106,189,23,41,130,725,1,7,2,9,3
41551.0,61,4,3,1,1,51,220,0,33,3,0,23,279,5,5,1,5,2
62981.0,58,4,5,0,0,21,796,14,590,38,44,0,1482,1,4,5,13,1
9548.0,49,1,2,1,0,31,0,1,3,10,6,9,29,2,1,0,3,2
33762.0,66,4,3,2,1,61,53,1,34,2,0,16,106,3,2,2,2,2
35860.0,52,4,1,1,1,37,15,0,8,4,2,20,49,2,1,1,2,2
36921.0,60,4,2,1,1,74,17,1,12,3,1,4,38,2,2,0,3,2
92859.0,33,3,4,0,0,46,962,61,921,52,61,20,2077,1,5,4,12,1
65104.0,49,3,5,0,1,4,738,0,232,13,20,50,1053,2,3,5,7,3
86111.0,63,2,3,0,0,73,399,28,756,36,40,126,1385,1,5,7,10,1
68352.0,51,4,4,0,1,47,614,16,132,43,33,33,871,3,8,5,9,3
41883.0,37,2,5,1,0,13,32,34,41,73,16,116,312,3,4,2,3,2
59809.0,49,2,3,0,2,36,598,16,141,32,41,49,877,3,3,3,6,3
23957.0,50,2,3,1,0,47,2,1,18,20,11,16,68,1,2,0,3,2
38547.0,44,2,5,1,0,49,6,1,10,0,1,4,22,1,1,0,2,2
35688.0,52,0,3,2,1,94,73,3,90,12,1,32,211,7,4,1,4,2
49605.0,59,3,3,0,0,65,42,16,29,12,20,8,127,1,2,1,4,2
59354.0,72,3,3,0,2,59,295,21,78,39,13,13,459,1,4,4,7,2
65747.0,56,2,3,0,1,96,346,17,48,23,13,13,460,4,8,1,6,2
46344.0,53,0,5,0,1,28,233,20,57,8,20,91,429,4,7,1,5,2
34176.0,37,2,1,1,0,12,5,7,24,19,14,20,89,4,3,0,4,2
61010.0,73,4,5,0,1,57,888,0,57,0,0,76,1021,2,8,5,11,3
69372.0,76,2,5,0,0,10,997,26,269,34,13,42,1381,1,10,4,6,1
49967.0,67,2,4,0,1,4,212,6,69,4,12,3,306,3,6,1,5,2
60199.0,47,2,4,1,2,49,8,1,7,2,0,0,18,1,0,0,3,2
55375.0,48,2,5,0,1,3,42,11,57,10,28,14,162,1,1,1,6,2
80317.0,70,2,4,0,0,64,536,11,387,149,91,57,1231,1,3,4,10,3
30523.0,67,3,4,2,1,0,5,0,3,0,0,5,13,1,1,0,2,2
70356.0,80,4,3,0,0,20,1349,16,249,43,16,33,1706,2,10,6,9,1
23228.0,41,2,3,1,0,91,53,3,49,7,4,5,121,4,3,0,4,2
74165.0,50,4,2,0,0,9,1001,12,240,16,12,12,1293,1,5,4,10,1
43482.0,59,2,5,2,1,83,18,1,32,6,3,28,88,3,2,0,4,2
62551.0,72,2,2,0,0,27,125,16,98,134,21,27,421,1,6,7,4,2
52332.0,66,2,2,0,0,63,212,5,33,7,0,2,259,1,3,2,6,2
66951.0,37,2,4,0,0,46,277,162,305,173,76,124,1117,1,3,4,7,3
26091.0,68,2,5,1,1,84,15,10,19,8,17,20,89,3,2,1,3,2
33456.0,60,2,5,1,1,58,7,3,10,8,1,7,36,2,1,0,3,2
28718.0,43,2,3,1,0,78,12,4,6,11,8,16,57,2,2,0,3,2
50447.0,55,2,3,2,0,4,85,7,24,2,3,27,148,1,3,1,3,2
53537.0,66,4,5,1,1,17,81,0,6,0,0,6,93,2,2,1,3,2
52074.0,58,2,4,0,1,77,59,0,12,0,0,48,119,1,2,2,2,2
80427.0,50,4,3,0,1,56,1149,71,449,69,71,26,1835,1,11,8,8,1
83837.0,77,4,3,0,0,79,847,66,119,86,89,111,1318,1,9,10,5,1
38853.0,55,4,3,1,1,90,29,0,14,0,0,2,45,2,2,0,3,2
38285.0,66,2,5,2,1,96,2,0,5,2,0,1,10,1,0,0,3,2
78497.0,74,0,3,0,0,44,207,26,447,75,0,223,978,1,5,7,12,3
51650.0,49,4,3,0,1,81,152,3,22,2,5,7,191,1,4,1,4,2
16248.0,37,0,3,1,0,77,12,11,10,3,12,9,57,3,2,1,3,2
66835.0,79,3,3,0,0,21,620,26,195,34,17,141,1033,1,6,4,13,3
30477.0,41,3,3,1,0,16,47,1,6,0,0,12,66,1,1,1,3,2
28249.0,64,1,3,0,0,80,1,9,7,2,14,10,43,1,2,0,3,2
25271.0,42,2,3,1,0,45,10,1,18,10,4,7,50,1,1,1,2,2
32303.0,55,4,4,0,1,63,35,0,2,0,0,2,39,2,1,0,4,2
61286.0,59,2,3,0,1,34,356,0,107,19,9,117,608,2,7,1,8,3
74068.0,49,2,3,0,0,14,783,30,537,140,76,15,1581,1,4,10,9,1
45759.0,61,4,3,1,1,13,42,1,18,3,0,4,68,2,2,0,3,2
24882.0,47,1,5,1,0,52,1,4,10,29,0,36,80,1,1,1,2,2
66973.0,36,4,5,0,0,98,466,22,432,147,113,102,1282,1,8,7,12,3
36640.0,125,0,2,1,0,99,15,6,8,7,4,25,65,1,2,1,2,2
38872.0,37,2,3,1,0,93,23,3,21,3,19,22,91,2,3,0,3,2
51148.0,52,2,3,1,1,38,235,6,45,8,9,12,315,4,5,1,6,2
31353.0,48,2,3,1,1,24,10,0,10,3,1,7,31,2,1,1,2,2
69661.0,45,3,3,0,0,80,656,16,106,32,16,8,834,1,7,3,12,3
80067.0,71,2,3,0,0,82,519,17,813,27,173,51,1600,1,4,6,6,1
86718.0,71,2,3,0,0,20,344,189,482,50,33,172,1270,1,5,6,5,3
46854.0,52,4,4,1,1,81,96,1,79,7,1,79,263,6,5,1,3,2
69142.0,73,2,2,0,1,50,448,4,34,6,4,39,535,3,8,1,7,3
75922.0,57,2,4,0,0,60,265,138,553,224,23,92,1295,1,4,4,9,3
63693.0,47,2,2,0,1,63,587,43,337,42,87,54,1150,3,11,6,9,3
102160.0,48,4,5,0,0,54,763,29,138,76,176,58,1240,0,7,9,10,3
40637.0,60,4,4,1,1,72,22,0,13,0,0,3,38,2,1,0,3,2
18890.0,41,3,4,0,0,5,6,4,1,7,2,15,35,1,0,1,2,2
29604.0,37,2,5,1,0,88,7,6,13,7,6,14,53,1,1,0,3,2
48721.0,62,3,2,1,1,50,81,18,113,47,13,21,293,6,4,2,5,2
44794.0,59,2,3,0,1,99,54,0,7,0,0,4,65,1,2,0,3,2
64497.0,71,2,2,0,1,17,1170,48,320,42,32,192,1804,5,11,4,9,1
46097.0,69,2,5,0,1,11,72,24,68,65,4,8,241,5,3,1,6,2
77972.0,71,2,5,0,0,18,613,22,319,33,102,12,1101,1,4,6,9,3
44377.0,57,4,3,1,1,70,224,0,30,0,0,10,264,8,5,1,5,2
46014.0,51,3,5,1,1,21,410,0,59,19,9,44,541,10,7,1,8,3
70951.0,40,2,3,0,0,66,239,10,554,254,87,54,1198,1,3,4,9,3
41443.0,48,2,3,1,0,79,171,7,171,25,19,89,482,6,8,1,5,2
52195.0,47,0,4,2,1,2,12,0,4,0,0,1,17,1,1,0,2,2
83790.0,77,3,3,0,0,81,1076,16,417,42,48,16,1615,1,8,10,6,1
44551.0,71,3,6,0,1,24,182,4,33,0,0,66,285,2,4,1,5,2
69508.0,45,2,5,1,0,48,824,32,162,42,32,43,1135,2,11,4,11,3
45204.0,37,0,5,1,0,93,30,11,25,29,1,18,114,1,1,1,4,2
72460.0,56,2,3,0,0,56,377,10,540,80,30,10,1047,1,3,5,7,3
77622.0,55,4,5,0,2,3,520,7,154,19,0,14,714,2,6,3,11,3
30732.0,45,4,3,1,0,44,155,1,25,0,1,3,185,4,4,1,4,2
63887.0,63,2,2,0,1,38,897,23,207,15,11,92,1245,5,9,6,12,1
42011.0,47,2,5,1,0,46,131,0,16,2,1,39,189,4,3,1,4,2
51369.0,49,2,5,0,1,84,297,7,79,0,11,182,576,2,8,2,4,3
51537.0,73,2,2,0,1,27,787,20,204,0,0,92,1103,3,2,2,11,3
79930.0,53,4,3,0,0,72,792,86,740,67,51,17,1753,1,3,5,8,1
34320.0,39,4,5,1,0,66,4,1,9,3,0,0,17,1,1,0,2,2
37070.0,59,2,4,1,1,30,231,7,137,4,15,39,433,9,5,1,8,2
81975.0,63,0,2,0,1,2,983,76,184,180,138,27,1588,1,6,3,4,1
38590.0,54,2,5,1,0,65,3,1,8,4,3,3,22,1,1,0,2,2
15033.0,74,2,4,0,0,37,0,4,5,6,0,4,19,1,1,0,3,2
62745.0,60,4,3,0,1,89,562,21,464,28,10,32,1117,3,7,8,11,3
22212.0,50,0,3,1,0,49,5,9,20,6,8,21,69,2,2,0,4,2
23661.0,43,3,5,1,0,46,18,0,4,0,0,1,23,1,1,0,3,2
79761.0,67,4,4,0,1,32,415,5,124,15,35,11,605,1,5,2,11,3
7500.0,52,2,4,1,0,54,5,3,10,12,7,20,57,4,3,1,3,2
60182.0,132,0,4,0,1,23,8,0,5,7,0,2,22,1,1,0,2,2
73455.0,57,2,6,0,0,98,901,61,757,186,163,20,2088,1,6,5,10,1
64961.0,67,2,5,0,1,97,382,114,276,75,124,38,1009,2,6,4,4,3
22804.0,54,2,4,1,0,75,14,1,7,2,1,1,26,1,2,0,2,2
73687.0,35,2,3,0,0,8,559,153,503,218,13,181,1627,1,3,9,9,1
61074.0,67,2,3,0,1,37,789,0,133,0,28,152,1102,7,11,5,8,3
31686.0,61,4,3,1,1,31,11,0,5,0,0,1,17,2,1,0,3,2
80134.0,53,2,3,1,0,40,1218,16,272,104,0,80,1690,2,5,3,6,1
75027.0,72,2,3,0,1,74,925,64,179,133,12,77,1390,2,9,4,6,1
67546.0,37,4,3,0,0,90,864,134,768,150,38,172,2126,1,4,10,5,1
65176.0,56,3,5,0,1,57,960,28,183,220,70,70,1531,4,9,6,6,1
31160.0,50,3,4,1,0,59,16,3,25,6,1,13,64,2,2,0,3,2
29938.0,40,2,4,1,0,52,3,3,7,0,2,11,26,2,1,0,3,2
102692.0,51,2,2,0,0,5,168,148,444,32,172,148,1112,1,6,9,13,3
26490.0,67,0,5,0,0,92,45,47,52,21,20,25,210,2,3,1,5,2
75702.0,58,2,5,1,1,77,650,28,353,45,42,30,1148,5,4,6,11,3
30899.0,51,4,4,1,0,35,24,0,8,0,0,1,33,2,1,0,3,2
63342.0,64,4,5,0,1,48,918,21,118,13,10,21,1101,3,8,3,5,3
45989.0,61,2,4,0,1,97,138,33,87,28,24,12,322,4,3,2,7,2
18701.0,61,2,4,1,1,95,12,4,2,10,6,10,44,4,2,0,4,2
40737.0,68,4,4,2,1,24,11,0,4,0,0,2,17,1,1,0,2,2
15287.0,46,2,2,1,0,60,1,2,8,4,3,13,31,2,1,1,2,2
69674.0,57,4,2,0,2,46,554,41,215,11,0,24,845,3,10,2,10,3
44159.0,55,3,3,1,0,85,167,2,62,24,13,7,275,4,4,1,6,2
37717.0,47,4,3,1,0,31,9,0,6,4,1,5,25,1,1,0,2,2
43776.0,73,3,5,1,1,9,177,2,71,3,2,20,275,6,5,2,4,2
38179.0,59,3,3,1,1,30,38,4,22,4,2,20,90,4,3,1,3,2
80124.0,62,2,3,0,0,47,483,84,398,205,84,241,1495,1,3,7,8,1
38097.0,55,4,3,1,1,70,77,2,35,0,1,69,184,4,3,2,2,2
72940.0,55,2,3,0,0,13,182,74,298,162,149,116,981,1,3,3,6,3
22070.0,55,2,5,1,0,11,10,7,19,8,2,21,67,2,2,2,2,2
69267.0,72,2,4,0,0,31,778,44,499,95,73,146,1635,2,3,4,5,1
31788.0,42,3,4,1,0,15,16,7,23,0,8,6,60,3,3,0,4,2
61905.0,50,4,5,0,1,2,167,0,43,6,2,13,231,2,4,2,4,2
29315.0,65,2,3,1,1,55,13,2,14,8,7,4,48,4,2,0,4,2
33378.0,62,2,2,1,1,38,33,6,40,3,7,10,99,3,2,0,4,2
66313.0,62,4,5,0,1,86,625,7,99,10,22,7,770,2,6,3,12,3
60714.0,69,2,4,0,0,56,216,162,224,101,92,162,957,2,7,4,10,3
77882.0,44,3,5,0,0,29,68,129,396,188,22,15,818,1,3,3,5,3
69867.0,39,4,4,0,0,30,196,0,512,33,130,54,925,1,3,5,8,3
63841.0,57,3,2,0,1,64,635,15,100,20,7,131,908,1,9,3,9,3
24480.0,44,1,3,1,0,46,4,19,9,28,25,17,102,3,3,0,4,2
51369.0,49,2,5,0,1,84,297,7,79,0,11,182,576,2,8,2,4,3
37760.0,79,2,5,0,0,20,84,5,38,150,12,28,317,2,4,1,6,2
65640.0,51,4,5,0,1,74,204,7,149,20,15,66,461,1,5,1,8,2
44319.0,50,3,3,1,1,18,26,0,8,0,0,3,37,2,2,0,3,2
30631.0,51,2,3,1,0,75,15,6,20,4,5,20,70,1,3,1,2,2
75278.0,73,2,5,0,0,17,304,98,230,150,74,74,930,1,6,3,13,3
50898.0,69,3,5,1,1,88,285,28,242,55,114,135,859,13,6,2,12,3
79946.0,59,2,6,0,0,19,395,183,565,166,141,28,1478,1,5,11,5,1
35416.0,76,3,2,0,0,62,248,3,81,4,3,51,390,3,7,1,5,2
32414.0,41,0,5,0,0,11,20,6,5,0,9,12,52,1,1,0,3,2
38361.0,56,2,5,1,0,74,39,0,56,20,8,14,137,3,3,1,3,2
82497.0,45,2,3,0,0,32,777,129,573,216,21,203,1919,1,2,7,9,1
16626.0,54,2,5,2,0,76,8,3,22,21,1,13,68,3,3,0,3,2
29672.0,60,2,5,1,1,6,9,1,3,0,4,8,25,1,0,0,3,2
55951.0,73,3,5,0,1,62,1241,0,80,0,13,40,1374,3,3,6,11,1
35388.0,37,0,2,1,0,20,6,4,7,4,3,8,32,1,1,0,3,2
42386.0,39,3,5,1,0,43,65,4,16,0,4,11,100,1,3,0,3,2
68627.0,43,2,4,0,0,45,395,15,263,60,54,38,825,1,2,3,6,3
57912.0,60,4,2,0,1,34,801,0,80,0,0,35,916,5,8,3,12,3
35246.0,67,2,2,1,1,53,36,0,12,2,2,10,62,4,3,1,3,2
58821.0,69,0,5,0,1,44,513,14,154,19,0,28,728,1,9,2,9,3
46377.0,47,4,3,1,0,89,37,0,46,4,3,0,90,1,2,1,3,2
39747.0,37,2,4,1,0,43,80,15,93,20,13,52,273,3,5,1,4,2
23976.0,41,2,5,1,0,68,14,1,21,2,3,25,66,3,3,1,3,2
80950.0,64,3,3,0,0,44,525,147,112,219,147,63,1213,1,6,7,9,3
27038.0,59,2,6,0,0,64,1,26,25,17,23,15,107,1,3,0,3,2
77457.0,78,2,4,0,0,85,675,11,400,15,45,11,1157,1,2,5,10,3
64100.0,61,3,3,0,1,93,509,0,27,0,0,10,546,1,8,3,6,3
42670.0,33,3,5,0,0,12,154,2,46,20,4,15,241,1,4,2,4,2
12571.0,49,2,2,1,0,86,3,5,14,2,12,17,53,4,3,1,3,2
22574.0,58,2,3,2,1,28,25,0,8,2,0,2,37,2,2,0,3,2
70893.0,49,3,4,0,0,42,768,44,561,77,44,14,1508,1,6,6,10,1
54198.0,59,2,3,1,1,13,185,0,28,3,2,17,235,6,3,1,6,2
28839.0,69,3,5,1,1,86,24,0,7,0,0,1,32,2,2,0,3,2
40321.0,53,2,3,1,1,59,44,4,21,6,0,27,102,2,3,0,3,2
66503.0,40,2,4,1,0,30,91,64,128,65,3,50,401,2,4,3,6,2
30833.0,74,2,3,1,1,33,11,0,7,3,1,6,28,2,1,0,3,2
64795.0,54,2,3,0,1,23,412,5,119,38,29,77,680,3,3,3,12,3
34421.0,51,2,3,1,0,81,3,3,7,6,2,9,30,1,1,0,2,2
47025.0,60,4,2,1,1,6,16,0,3,0,0,1,20,1,1,0,2,2
64325.0,64,4,2,0,1,41,731,60,353,78,12,73,1307,5,10,3,5,1
40464.0,72,2,4,0,1,78,424,17,118,7,23,41,630,6,8,2,8,3
62187.0,68,2,3,0,0,49,792,0,275,45,45,126,1283,1,4,8,5,1
14849.0,49,4,2,1,0,39,21,2,28,3,2,9,65,3,2,0,4,2
27255.0,41,2,3,1,0,3,22,1,11,0,1,2,37,1,1,0,3,2
54432.0,75,4,3,2,1,37,33,0,5,0,0,0,38,1,1,0,3,2
29999.0,39,4,4,1,0,22,68,7,59,10,5,11,160,4,3,1,4,2
24072.0,42,2,4,1,0,79,9,1,6,3,0,4,23,1,1,0,2,2
33996.0,36,4,4,0,0,46,40,2,15,8,0,6,71,1,1,1,3,2
66334.0,69,4,3,0,1,82,909,11,218,0,0,23,1161,2,9,3,5,3
35178.0,54,3,3,1,0,10,23,1,13,2,2,18,59,1,1,1,2,2
22010.0,42,2,5,1,0,51,11,2,9,3,0,8,33,2,2,0,3,2
62204.0,65,2,2,0,2,38,317,46,247,151,46,139,946,1,4,5,12,3
75693.0,57,2,2,0,0,10,797,153,293,72,97,30,1442,1,11,4,6,1
30675.0,53,2,3,1,0,14,10,2,16,11,2,21,62,1,1,0,3,2
83003.0,60,2,5,0,0,18,856,61,570,40,25,122,1674,1,7,6,8,1
83532.0,126,4,5,0,0,36,755,144,562,104,64,224,1853,1,4,6,4,1
68655.0,37,2,4,0,0,95,456,19,832,75,118,38,1538,1,4,5,11,1
41411.0,39,2,2,0,0,11,37,32,38,11,3,18,139,1,2,1,4,2
55212.0,56,4,3,0,1,65,1103,0,45,0,0,34,1182,3,4,2,11,1
59292.0,75,4,5,0,1,71,378,14,68,19,14,14,507,2,3,5,8,3
27190.0,52,1,5,1,0,13,1,6,7,0,1,3,18,1,1,0,2,2
82623.0,73,2,2,0,0,58,204,34,204,172,153,173,940,1,2,9,4,3
